"","Culture","PromLong","PromLat","Dated_Mean"
"459","Spain_MLN_1",-1.87058823529412,41.5358823529412,5205.05882352941
"460","Spain_MLN_2",-2.15235294117647,39.2176470588235,5743.23529411765
"461","Spain_MLN_3",-6.21,36.45,6100
"462","Spain_MN_0",-4.42,37.41,4466
"463","Spain_Muslim_0",-3.23857142857143,37.33,878.571428571429
"464","Spain_NazariPeriod_0",-3.56090909090909,37.0045454545455,440.909090909091
"465","Spain_Roman_0",-1.215,39.225,1612.5
"466","Spain_Roman_1",3.11,42.13,1808.625
"467","Spain_Roman_2",-1.37,38.83,1374.66666666667
"468","Spain_UP_0",1.6,42.09,11908
"469","Spain_UP_1",1.6,42.09,13015
"470","Spain_Visigoth_0",2.31,41.98,1300
"471","Spain_Visigoth_1",-3.4,37.7145454545455,1442.54545454545
"472","Spain_Visigoth_2",-4.12,36.96,1195
"473","Spanish_0",-4,39.9,0
"474","Sweden_Ansarve_Megalithic_0",18.14,57.51,4705
"475","Sweden_Ansarve_Megalithic_1",18.14,57.51,5106
"476","Sweden_Ansarve_Megalithic_2",18.14,57.51,5324.5
"477","Sweden_BA_0",13.9333333333333,55.8,3296.33333333333
"478","Sweden_BAC_0",15.11,57.6166666666667,4530.66666666667
"479","Sweden_BattleAxe_0",14.23,56.03,4487
"480","Sweden_EarlyViking_0",17.08,57.35,1200
"481","Sweden_FBC_0",13.65,58.18,5019.5
"482","Sweden_HG_0",17.97,57.29,7365
"483","Sweden_IA_0",15.38,56.1966666666667,1535
"484","Sweden_Late_N_0",14.07,56.01,3745.5
"485","Sweden_LN_0",13.37,55.4466666666667,3940
"486","Sweden_LNBA_0",17,61.66,4306
